"Education","Marital_Status","Income","Recency","wines","fruits","meat","fish","sweet","gold","dealpurchase","webpurchase","catalog","Store","webvisit","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","Age","Total_spent","Total_num","Kids"
"graduate","Single",58138,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,65,1617,25,0
"graduate","Single",46344,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,68,27,6,2
"graduate","Taken",71613,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,57,776,21,0
"graduate","Taken",26646,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,38,53,8,1
"graduate","Taken",58293,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,41,422,19,1
"graduate","Taken",62513,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,55,716,22,1
"graduate","Single",55635,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,51,590,21,1
"graduate","Taken",33454,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,37,169,10,1
"graduate","Taken",30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,48,46,6,1
"graduate","Taken",5648,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,72,49,2,2
"non-graduate","Taken",7500,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,46,61,6,0
"graduate","Single",63033,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,63,1102,16,0
"graduate","Single",59354,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,70,310,15,2
"graduate","Taken",17323,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,35,46,5,0
"graduate","Single",82800,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,76,1315,26,0
"graduate","Taken",41850,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,42,96,9,2
"graduate","Taken",37760,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,76,317,13,0
"graduate","Taken",76995,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,73,1782,26,1
"graduate","Single",33812,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,37,133,8,1
"graduate","Taken",37040,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,40,316,12,0
"graduate","Taken",2447,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,43,1730,43,1
"graduate","Taken",58607,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,73,972,17,1
"graduate","Taken",65324,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,68,544,20,1
"graduate","Taken",40689,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,71,444,20,1
"graduate","Single",18589,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,53,75,8,0
"graduate","Taken",53359,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,46,257,14,2
"graduate","Taken",38360,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,33,131,9,1
"graduate","Taken",84618,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,57,1672,26,0
"graduate","Single",10979,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,33,30,8,0
"graduate","Taken",38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,59,318,11,0
"graduate","Taken",40548,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,52,120,9,1
"graduate","Single",46610,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,70,302,17,2
"graduate","Taken",68657,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,76,1196,18,0
"graduate","Single",49389,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,71,65,6,2
"graduate","Taken",67353,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,52,913,28,1
"graduate","Taken",23718,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,46,81,9,1
"graduate","Single",42429,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,49,67,7,1
"graduate","Single",48948,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,79,902,24,0
"graduate","Taken",80011,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,42,1395,21,1
"graduate","Taken",20559,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,37,53,7,1
"graduate","Taken",21994,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,65,22,4,1
"graduate","Taken",7500,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,47,31,8,1
"graduate","Single",79941,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,46,984,16,0
"graduate","Taken",7500,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,26,122,10,0
"graduate","Taken",41728,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,54,55,5,1
"graduate","Taken",72550,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,68,1319,28,2
"graduate","Single",65486,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,65,507,17,1
"graduate","Taken",79143,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,58,1693,29,0
"graduate","Single",35790,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,45,72,7,1
"graduate","Single",82582,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,45,1617,21,0
"graduate","Taken",66373,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,44,606,23,2
"graduate","Taken",82384,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,67,1957,27,0
"graduate","Single",70287,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,56,1093,21,0
"graduate","Single",27938,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,34,29,6,1
"graduate","Taken",55954,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,54,518,19,1
"graduate","Single",75777,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,40,1438,21,0
"graduate","Taken",66653,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,47,612,22,2
"graduate","Single",61823,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,70,884,24,1
"graduate","Single",67680,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,71,606,19,1
"graduate","Taken",70666,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,74,1076,16,0
"graduate","Taken",25721,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,51,34,5,1
"graduate","Taken",32474,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,55,11,4,2
"graduate","Single",88194,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,43,1274,32,1
"graduate","Taken",69096,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,64,653,18,1
"graduate","Taken",74854,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,52,1562,19,3
"graduate","Taken",66991,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,68,1253,21,0
"graduate","Taken",65031,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,63,863,30,1
"graduate","Taken",60631,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,47,661,24,2
"graduate","Taken",28332,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,70,65,8,0
"graduate","Single",40246,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,45,13,4,1
"graduate","Taken",75251,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,50,1890,19,0
"graduate","Single",75825,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,46,2209,22,0
"graduate","Taken",26326,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,46,18,4,0
"graduate","Taken",56046,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,57,692,21,0
"graduate","Single",29760,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,37,165,12,1
